rank,title,developer,source,rank_source,app_id,store_url,logo_file
"34","Canva: AI Photo & Video Editor","Canva","google_play","TOP_FREE","com.canva.editor","https://play.google.com/store/apps/details?id=com.canva.editor","034_Canva_AI_Photo_&_Video_Editor.png"
"35","ShortMax - Watch Dramas & Show","SHORTMAX LIMITED","google_play","TOP_FREE","live.shorttv.apps","https://play.google.com/store/apps/details?id=live.shorttv.apps","035_ShortMax_-_Watch_Dramas_&_Show.png"
"36","NetShort - Popular Dramas & TV","NETSTORY PTE. LTD.","google_play","TOP_FREE","com.netshort.abroad","https://play.google.com/store/apps/details?id=com.netshort.abroad","036_NetShort_-_Popular_Dramas_&_TV.png"
"37","Music Downloader & Mp3 Player","Video Downloader & Player AppTool","google_play","TOP_FREE","com.musicdownload.appmusicdownloader20252","https://play.google.com/store/apps/details?id=com.musicdownload.appmusicdownloader20252","037_Music_Downloader_&_Mp3_Player.png"
"38","Instagram Lite","Instagram","google_play","TOP_FREE","com.instagram.lite","https://play.google.com/store/apps/details?id=com.instagram.lite","038_Instagram_Lite.png"
"39","Uber - Request a ride","Uber Technologies, Inc.","google_play","TOP_FREE","com.ubercab","https://play.google.com/store/apps/details?id=com.ubercab","039_Uber_-_Request_a_ride.png"
"40","Google Gemini","Google LLC","google_play","TOP_FREE","com.google.android.apps.bard","https://play.google.com/store/apps/details?id=com.google.android.apps.bard","040_Google_Gemini.png"
"41","DStv Stream","MultiChoice Support Services (Pty) Ltd","google_play","TOP_FREE","com.dstvmobile.android","https://play.google.com/store/apps/details?id=com.dstvmobile.android","041_DStv_Stream.png"
"42","Netflix","Netflix, Inc.","google_play","TOP_FREE","com.netflix.mediaclient","https://play.google.com/store/apps/details?id=com.netflix.mediaclient","042_Netflix.png"
"43","Takealot – Online Shopping App","Takealot","google_play","TOP_FREE","fi.android.takealot","https://play.google.com/store/apps/details?id=fi.android.takealot","043_Takealot_–_Online_Shopping_App.png"
"44","Pick n Pay asap + SmartShopper","PnP Omnichannel","google_play","TOP_FREE","za.co.pnp.smartshopper","https://play.google.com/store/apps/details?id=za.co.pnp.smartshopper","044_Pick_n_Pay_asap_+_SmartShopper.png"
"45","Music and Video Downloader","Vidpal Apps Studio","google_play","TOP_FREE","free.video.downloader.freevideodownloader2021.video.saver.videosaverlite","https://play.google.com/store/apps/details?id=free.video.downloader.freevideodownloader2021.video.saver.videosaverlite","045_Music_and_Video_Downloader.png"
"46","RecoverPro-File Recovery","RK Ventures","google_play","TOP_FREE","com.bill.ricecook.recoverpro","https://play.google.com/store/apps/details?id=com.bill.ricecook.recoverpro","046_RecoverPro-File_Recovery.png"
"47","PDF Reader – PDF Viewer","EZTech Apps","google_play","TOP_FREE","com.ezt.pdfreader.pdfviewer","https://play.google.com/store/apps/details?id=com.ezt.pdfreader.pdfviewer","047_PDF_Reader_–_PDF_Viewer.png"
"48","LiveScore: Live Sports Scores","LiveScore Limited","google_play","TOP_FREE","com.livescore","https://play.google.com/store/apps/details?id=com.livescore","048_LiveScore_Live_Sports_Scores.png"
"49","Status Saver - Video Saver","Save Status, Video & Image Downloader","google_play","TOP_FREE","statussaver.statusdownloader.downloadstatus.videoimagesaver","https://play.google.com/store/apps/details?id=statussaver.statusdownloader.downloadstatus.videoimagesaver","049_Status_Saver_-_Video_Saver.png"
"50","YouVersion Bible App + Audio","Life.Church","google_play","TOP_FREE","com.sirma.mobile.bible.android","https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android","050_YouVersion_Bible_App_+_Audio.png"
"51","Checkers Sixty60","Shoprite Checkers (PTY) LTD","google_play","TOP_FREE","za.co.shoprite.sixty60","https://play.google.com/store/apps/details?id=za.co.shoprite.sixty60","051_Checkers_Sixty60.png"
"52","PhotoRevive","Graduate Jobs","google_play","TOP_FREE","com.dangertop.recovery.file","https://play.google.com/store/apps/details?id=com.dangertop.recovery.file","052_PhotoRevive.png"
"53","Messenger","Meta Platforms, Inc.","google_play","TOP_FREE","com.facebook.orca","https://play.google.com/store/apps/details?id=com.facebook.orca","053_Messenger.png"
"54","TymeBank","Tyme Bank Ltd.","google_play","TOP_FREE","consumer.cbsa.smartapp","https://play.google.com/store/apps/details?id=consumer.cbsa.smartapp","054_TymeBank.png"
"55","PDF Reader, Editor, Converter","EAGLE APPS","google_play","TOP_FREE","com.pdfviewer.pdfreader.eagle.apps","https://play.google.com/store/apps/details?id=com.pdfviewer.pdfreader.eagle.apps","055_PDF_Reader,_Editor,_Converter.png"
"56","FastSave: Music & Video","FastSave LLC","google_play","TOP_FREE","com.fastsave.app","https://play.google.com/store/apps/details?id=com.fastsave.app","056_FastSave_Music_&_Video.png"
"57","Music Downloader Mp3 Download","music download player Inc","google_play","TOP_FREE","com.freemusic.download.ddplmnb","https://play.google.com/store/apps/details?id=com.freemusic.download.ddplmnb","057_Music_Downloader_Mp3_Download.png"
"58","All Video Downloader & Player","QR Code Scanner.","google_play","TOP_FREE","videoplayer.videodownloader.downloader","https://play.google.com/store/apps/details?id=videoplayer.videodownloader.downloader","058_All_Video_Downloader_&_Player.png"
"59","Nedbank Money","Nedbank Limited","google_play","TOP_FREE","za.co.nedbank","https://play.google.com/store/apps/details?id=za.co.nedbank","059_Nedbank_Money.png"
"60","SHAREit Lite - Fast File Share","Smart Media4U Technology Pte.Ltd.","google_play","TOP_FREE","shareit.lite","https://play.google.com/store/apps/details?id=shareit.lite","060_SHAREit_Lite_-_Fast_File_Share.png"
"61","Uber Eats: Food Delivery","Uber Technologies, Inc.","google_play","TOP_FREE","com.ubercab.eats","https://play.google.com/store/apps/details?id=com.ubercab.eats","061_Uber_Eats_Food_Delivery.png"
"62","Google Wallet","Google LLC","google_play","TOP_FREE","com.google.android.apps.walletnfcrel","https://play.google.com/store/apps/details?id=com.google.android.apps.walletnfcrel","062_Google_Wallet.png"
"63","bash","The Foschini Group","google_play","TOP_FREE","com.bash.prod","https://play.google.com/store/apps/details?id=com.bash.prod","063_bash.png"
"64","Status Saver・Status Downloader","Save Status, Video & Image Downloader","google_play","TOP_FREE","savestatus.videodownloader.storysaver.statuskeeper","https://play.google.com/store/apps/details?id=savestatus.videodownloader.storysaver.statuskeeper","064_Status_Saver・Status_Downloader.png"
"65","FNB Banking App","FirstRand Bank Limited.","google_play","TOP_FREE","za.co.fnb.connect.itt","https://play.google.com/store/apps/details?id=za.co.fnb.connect.itt","065_FNB_Banking_App.png"
"66","PayJustNow","PayJustNow","google_play","TOP_FREE","com.payjustnow","https://play.google.com/store/apps/details?id=com.payjustnow","066_PayJustNow.png"
"67","Hollywood Athletics Club","HOLLYWOOD SPORTSBOOK GAUTENG (PTY) LTD","google_play","TOP_FREE","com.betsoftware.hollywoodathleticsclub","https://play.google.com/store/apps/details?id=com.betsoftware.hollywoodathleticsclub","067_Hollywood_Athletics_Club.png"
"68","Candy Race Launcher","Gamnest","google_play","TOP_FREE","com.Gamnest.CandyRace","https://play.google.com/store/apps/details?id=com.Gamnest.CandyRace","068_Candy_Race_Launcher.png"
"69","MoyaApp","Moya App (Pty) Ltd","google_play","TOP_FREE","nu.bi.moya","https://play.google.com/store/apps/details?id=nu.bi.moya","069_MoyaApp.png"
"70","AI Cleaner - Storage Cleaner","GRIMLAX TRADE, S.L.","google_play","TOP_FREE","ai.storage.cleaner.app","https://play.google.com/store/apps/details?id=ai.storage.cleaner.app","070_AI_Cleaner_-_Storage_Cleaner.png"
"71","Status Saver - Save Status","Lite Media","google_play","TOP_FREE","statussaver.statusdownloader.videodownloader","https://play.google.com/store/apps/details?id=statussaver.statusdownloader.videodownloader","071_Status_Saver_-_Save_Status.png"
"72","AllTrails: Hike, Bike & Run","AllTrails, LLC","google_play","TOP_FREE","com.alltrails.alltrails","https://play.google.com/store/apps/details?id=com.alltrails.alltrails","072_AllTrails_Hike,_Bike_&_Run.png"
